,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,
"Detector, Descriptor",LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC,LidarTTC,CameraTTC
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARRIS + BRISK,12.5156,10.9082,12.5156,10.9082,15.7465,-inf,13.1241,12.9162,11.1746,-inf,12.8086,11.2142,8.95978,11.6948,9.59863,5.6061,8.52157,-13.6263,9.51552,6.33866,9.61241,12.7384,8.3988,-inf,,
HARRIS + BRIEF,12.5156,10.9082,12.5156,10.9082,15.7465,34.7543,11.9844,12.3379,13.1241,17.6204,11.1746,20.5862,12.8086,11.7414,8.95978,nan,9.59863,5.6061,8.52157,-13.6263,9.51552,6.6376,9.61241,12.5848,8.3988,-inf
HARRIS + ORB,12.5156,10.9082,12.5156,10.9082,15.7465,34.7543,13.1241,17.6204,11.1746,nan,12.8086,11.2142,8.95978,11.1055,9.59863,5.85828,8.52157,-12.639,9.51552,6.52962,9.61241,12.5848,8.3988,-inf,,
HARRIS + FREAK,12.5156,8.75397,15.7465,13.3698,11.9844,11.9596,13.1241,12.3725,11.1746,10.2931,12.8086,11.8135,8.95978,11.1055,9.59863,nan,8.52157,-25.2781,9.51552,6.71705,9.61241,11.1009,8.3988,-inf,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SHI-TOMASI + BRISK,12.5156,12.7951,11.9844,13.131,13.1241,13.2469,11.1746,11.5712,12.8086,10.9571,8.95978,12.2294,9.59863,12.241,8.52157,9.94433,9.51552,10.3242,9.61241,11.3018,8.3988,9.18809,,,,
SHI-TOMASI + BRIEF,12.5156,14.3846,15.7465,12.4657,11.9844,14.0762,13.1241,12.3758,11.1746,12.313,12.8086,11.4293,8.95978,11.0187,9.59863,12.5611,8.52157,12.8981,9.51552,12.3789,9.61241,10.7391,8.3988,8.36986,,
SHI-TOMASI + ORB,12.5156,14.685,15.7465,13.4042,11.9844,12.5425,13.1241,13.0058,11.1746,13.6717,12.8086,10.7136,8.95978,12.2398,9.59863,11.8767,8.52157,10.2976,9.51552,12.8765,9.61241,9.21193,8.3988,8.29931,,
SHI-TOMASI + FREAK,12.5156,13.8833,15.7465,12.478,13.1241,11.376,11.1746,12.6919,12.8086,11.1985,8.95978,12.9405,9.59863,11.5476,8.52157,11.1223,9.51552,10.25,9.61241,12.3667,8.3988,7.15473,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FAST + BRISK,12.5156,12.5036,15.7465,76.3058,11.9844,12.3866,13.1241,11.342,11.1746,13.8902,12.8086,12.2138,8.95978,11.6041,9.59863,12.2391,8.52157,11.4845,9.51552,12.24,9.61241,10.0192,8.3988,12.5199,,
FAST + BRIEF,12.5156,10.8342,12.5156,10.8342,15.7465,29.241,11.9844,11.4441,13.1241,10.873,11.1746,13.5741,12.8086,13.7449,8.95978,10.7982,9.59863,10.8914,8.52157,11.0105,9.51552,11.3321,9.61241,7.80452,8.3988,11.7693
FAST + ORB,12.5156,11.199,12.5156,11.199,15.7465,44.5012,11.9844,11.5301,13.1241,11.1869,11.1746,13.6749,12.8086,13.6717,8.95978,13.5094,9.59863,11.7158,8.52157,11.9843,9.51552,11.8507,9.61241,10.8359,8.3988,10.4969
FAST + FREAK,12.5156,10.8342,12.5156,10.8342,15.7465,10.7194,11.9844,11.6365,13.1241,12.0558,11.1746,13.6593,12.8086,12.2996,8.95978,12.7288,9.59863,12.0072,8.52157,10.3181,9.51552,12.2764,9.61241,9.56386,8.3988,12.6746
,,,,,,,,,,,,,,,,,,,,,,,,,,
BRISK + BRISK,12.5156,11.9038,12.5156,11.9532,15.7465,24.1367,11.9844,14.2536,13.1241,16.5208,11.1746,11.6267,12.8086,12.1055,8.95978,10.5222,9.59863,11.8408,8.52157,13.2661,9.51552,11.4314,9.61241,9.80066,8.3988,12.4882
